symbol,alert_type,direction,price,entry,stop,target_1,target_2,confidence,time
SPY,morning_low_breakdown,SHORT,655.49,655.49,656.72,654.26,653.03,medium,19:59:52
META,resistance_prior_high,NOTICE,604.24,,,,,medium,19:55:50
META,gap_and_go,BUY,607.61,605.79,604.25,610.64,622.64,medium,19:04:39
META,pdh_retest_hold,BUY,607.6,605.79,604.26,607.32,608.85,medium,18:59:30
META,first_hour_summary,NOTICE,605.47,,,,,info,18:54:34
META,prior_day_high_breakout,BUY,606.74,603.96,602.83,609.1,622.64,medium,18:54:33
NVDA,planned_level_touch,BUY,176.45,175.79,175.23,176.7,178.26,medium,18:39:29
AAPL,stop_loss_hit,SELL,250.61,,,,,,17:06:16
GOOGL,session_low_bounce_vwap,BUY,301.86,301.86,300.95,303.72,305.97,medium,16:44:15
AAPL,ema_reclaim_200,BUY,251.09,250.53,249.78,252.35,255.13,medium,16:34:20
NVDA,fib_retracement_bounce,BUY,175.278,174.99,174.29,177.03,178.26,medium,16:24:13
GOOGL,morning_low_retest,BUY,302.17,301.91,301,303.92,306,medium,16:18:13
GOOGL,session_low_double_bottom,BUY,302.56,301.91,301,303.95,306,medium,16:14:16
GOOGL,multi_day_double_bottom,BUY,303.6,302.14,301.23,303.99,306,medium,16:04:14
AAPL,morning_low_retest,BUY,251.82,251.36,250.61,252.45,255.13,medium,15:58:25
SPY,ma_resistance,SELL,657.42,,,,,,15:58:19
SPY,pdh_rejection,SELL,657.42,,,,,,15:58:14
AAPL,session_low_bounce_vwap,BUY,252.03,251.36,250.61,252.11,252.86,medium,15:54:24
SPY,auto_stop_out,SELL,657.26,658.58,657.26,,,high,15:54:15
SPY,session_low_bounce_vwap,BUY,657.735,657.73,656.41,659.19,662.98,medium,15:54:14
NVDA,auto_stop_out,SELL,176.26,176.93,176.26,,,high,15:48:20
NVDA,session_low_double_bottom,BUY,176.3276,175.76,175.07,176.45,177.14,medium,15:48:18
NVDA,session_low_bounce_vwap,BUY,176.925,176.93,176.26,177.34,178.26,medium,15:38:26
SPY,intraday_support_bounce,BUY,659.59,658.58,657.26,660.91,662.23,medium,15:38:18
NVDA,opening_low_base,BUY,177.435,176.4,175.75,178.08,178.73,medium,15:34:25
SPY,vwap_bounce,BUY,660.8,659.23,657.91,662.12,663.44,medium,15:34:19
AAPL,intraday_support_bounce,BUY,252.66,251.92,251.16,253.42,254.18,medium,15:24:39
GOOGL,first_hour_high_breakout,BUY,304.92,304.62,303.71,307.06,309.5,medium,15:24:34
NVDA,vwap_bounce,BUY,177.7851,177.33,176.8,178.32,178.85,medium,15:24:24
SPY,opening_low_base,BUY,661.87,658.04,656.72,663.19,664.51,medium,15:24:19
GOOGL,intraday_support_bounce,BUY,303.89,303.14,302.23,304.8,305.71,medium,15:04:13
AAPL,first_hour_summary,NOTICE,252.4399,,,,,info,14:30:44
GOOGL,inside_day_forming,NOTICE,304.21,,,,,medium,14:30:37
GOOGL,first_hour_summary,NOTICE,304.48,,,,,info,14:30:33
NVDA,inside_day_forming,NOTICE,177.75,,,,,medium,14:30:28
NVDA,first_hour_summary,NOTICE,177.875,,,,,info,14:30:24
SPY,first_hour_summary,NOTICE,660.99,,,,,info,14:30:19
NVDA,target_2_hit,SELL,177.82,,,,,,14:24:33
NVDA,ma_resistance,SELL,178.09,,,,,,14:24:32
NVDA,pdh_rejection,SELL,178.09,,,,,,14:24:28
NVDA,gap_and_go,BUY,178.08,177.25,176.54,178.67,180.09,medium,14:24:24
SPY,gap_and_go,BUY,662.01,658.07,656.75,663.33,664.65,medium,14:24:19
AAPL,target_1_hit,SELL,252.53,,,,,,14:18:17
AAPL,session_low_double_bottom,BUY,252,251.02,250.27,253.03,255.04,medium,14:14:40
NVDA,vwap_reclaim,BUY,177.345,176.4,175.69,177.11,177.82,medium,14:14:35
SPY,multi_day_double_bottom,BUY,660.09,658.04,656.72,659.36,660.68,medium,14:14:29
GOOGL,resistance_prior_high,NOTICE,305.12,,,,,medium,14:12:20
NVDA,intraday_support_bounce,BUY,177.0399,176.4,175.69,177.11,177.82,medium,14:08:22
AAPL,hourly_resistance_approach,SELL,251.56,,,,,,14:06:21
NVDA,target_1_hit,SELL,177.11,,,,,,14:06:16
AAPL,ema_bounce_200,BUY,251.5728,250.53,249.78,252.53,254.53,low,14:04:30
NVDA,multi_day_double_bottom,BUY,177.33,176.4,175.69,177.11,177.82,medium,14:04:22
NVDA,resistance_prior_high,NOTICE,177.73,,,,,medium,13:58:20
SPY,target_1_hit,SELL,659.39,,,,,,13:58:16
SPY,pdh_retest_hold,BUY,659.755,658.07,656.75,659.39,660.71,medium,13:54:29
SPY,ma_bounce_200,BUY,657.15,656.52,655.21,657.4,662.98,medium,13:34:03
SPY,ema_bounce_200,BUY,657.61,654.57,653.26,659.81,665.05,medium,13:32:21
AAPL,prior_day_high_breakout,BUY,253.92,249.2,248.45,255.13,257.12,high,13:30:43
GOOGL,planned_level_touch,BUY,302.8675,302.35,301.44,306,308.42,high,13:30:38
SPY,resistance_prior_high,NOTICE,658.17,,,,,medium,13:30:34
SPY,prior_day_high_breakout,BUY,658.17,656.52,655.21,657.83,659.14,high,13:30:29
ETH-USD,pdh_retest_hold,BUY,2144.277,2144.28,2128.14,2161.43,2178.58,high,12:46:25
ETH-USD,pdh_rejection,SELL,2121.8472,,,,,,12:08:19
ETH-USD,stop_loss_hit,SELL,2125.98,,,,,,12:06:21
ETH-USD,prior_day_high_breakout,BUY,2166.954,2125.98,2109.1,2183.83,2200.71,high,11:14:26
ETH-USD,hourly_resistance_approach,SELL,2155.7395,,,,,,11:12:19
ETH-USD,resistance_prior_high,NOTICE,2126.7236,,,,,,11:10:19
ETH-USD,planned_level_touch,BUY,2051.3662,2027.05,2022.09,2032.01,2036.97,high,11:06:28
ETH-USD,target_2_hit,SELL,2038.27,,,,,,08:30:16
ETH-USD,morning_low_retest,BUY,2053.1982,2027.05,2021.44,2032.66,2038.27,high,08:24:28
ETH-USD,prior_day_low_reclaim,BUY,2032.911,2027.05,2018.51,2049.56,2065.78,medium,07:14:19
ETH-USD,prior_day_low_bounce,BUY,2029.6769,2029.68,2022.2,2049.56,2065.8,medium,06:46:19
ETH-USD,auto_stop_out,SELL,2060.61,2064.61,2060.61,,,high,06:08:17
ETH-USD,vwap_bounce,BUY,2065.54,2064.61,2060.61,2069.54,2073.54,high,05:32:24
ETH-USD,vwap_reclaim,BUY,2066.4863,2063.19,2059.39,2070.29,2074.09,high,05:14:24
ETH-USD,inside_day_forming,NOTICE,2068.608,,,,,medium,05:04:35
ETH-USD,fib_retracement_bounce,BUY,2068.608,2065.24,2044.59,2090.63,2107.15,high,05:04:24
ETH-USD,ma_resistance,SELL,2058.846,,,,,,03:22:19
BTC-USD,prior_day_low_bounce,BUY,68259.445,68227.3,68044.76,68409.84,68592.38,medium,03:17:42
BTC-USD,vwap_reclaim,BUY,68459.5,68322.64,68157.35,68624.79,68790.08,medium,03:12:28
BTC-USD,multi_day_double_bottom,BUY,68467.91,68322.64,68157.35,68487.93,68653.22,medium,03:11:31
ETH-USD,weekly_low_test,NOTICE,2062.364,2062.66,,,,medium,02:45:19
ETH-USD,weekly_level_touch,BUY,2064.9253,2062.66,2056.65,2068.18,2071.39,high,02:35:24
