Time,Symbol,Direction,Type,Price,Entry,Stop,T1,T2,Confidence,Action,Message
2026-04-09 19:30:01.709530,SPY,BUY,swing_200ma_reclaim,676.010009765625,676.010009765625,,,,,skipped,[SWING] 200 MA reclaim — close 676.01 > 200MA 660.16 | Stop: close below 200MA | Target: RSI 70
2026-04-09 19:30:00.948898,LRCX,BUY,swing_ema_crossover_5_20,246.49000549316406,246.49000549316406,,,,,skipped,[SWING] EMA5/20 bullish crossover — EMA5 229.05 > EMA20 223.50 | Stop: EMA5 crosses back under EMA20 | Target: RSI 70
2026-04-09 18:04:21.981273,SPY,SHORT,consol_15m_breakout_short,678.97998046875,679.6599731445312,682.52001953125,676.7999877929688,673.9400024414062,high,skipped,15M CONSOLIDATION BREAKDOWN — 60min range $679.66-$681.16 (0.2%) broken down. Vol 1.0x (prime_time)
2026-04-09 17:07:21.981344,LRCX,SELL,target_1_hit,256.92999267578125,,,,,,,T1 hit at $256.93 (entry $254.89) — sell half; move stop to breakeven | near hourly R $256.60
2026-04-09 17:03:55.213208,LRCX,SELL,target_2_hit,256.07000732421875,,,,,,,Target 2 hit at $256.07 (entry $225.50) | near hourly R $256.60
2026-04-09 16:22:34.817545,LRCX,SELL,target_1_hit,249.19000244140625,,,,,,,T1 hit at $249.19 (entry $225.50) — sell half; move stop to breakeven | near PDH $249.19
2026-04-09 16:21:55.200846,LRCX,BUY,weekly_high_breakout,255.38999938964844,225.5,224.82000732421875,249.19000244140625,256.07000732421875,medium,skipped,Weekly high breakout — closed above $225.50 (vol 1.4x avg) (prime_time) | T1: prior month high $241.37; T2: prior low $241.49 | gap up (+0.5%)
2026-04-09 16:04:34.817079,SPY,SELL,stop_loss_hit,679.8499755859375,,,,,,,Stop loss hit at $679.85 (-$3.57/share from entry $676.28) | near PDH $677.08
2026-04-09 15:55:22.950945,TSLA,SELL,hourly_resistance_approach,345.07000732421875,,,,,,,APPROACHING HOURLY RESISTANCE at $345.58 — tighten stop or take profits
2026-04-09 15:54:55.200890,TSLA,BUY,prior_day_low_reclaim,344.9800109863281,344.9800109863281,343.260009765625,353.0799865722656,364.5,medium,skipped,Prior day low reclaim — dipped to $337.25; reclaimed above $339.67 (prime_time) — price above VWAP | T1: hourly resistance $353.08; T2: prior high $364.50 | low volume (caution) | TSLA RSI crash risk (35)
2026-04-09 15:51:55.201377,LRCX,SELL,hourly_resistance_approach,255.1699981689453,,,,,,,APPROACHING HOURLY RESISTANCE at $255.37 — tighten stop or take profits
2026-04-09 15:48:55.203267,LRCX,BUY,prior_day_high_breakout,254.88999938964844,254.88999938964844,254.1300048828125,256.92999267578125,258.9700012207031,medium,skipped,Prior day high breakout — closed above $249.19 (vol 1.2x avg) (prime_time) | gap up (+0.5%)
2026-04-09 15:39:55.202683,ETH-USD,SELL,target_2_hit,2212.010009765625,,,,,,,Target 2 hit at $2212.01 (entry $2171.66) | near PDH $2218.21
2026-04-09 15:34:59.091935,SPY,NOTICE,_t1_notify,677.4650268554688,,,,,,,T1 REACHED — your LONG from $676.28 hit target $672.71. P&L: $1.19 (+0.2%). Take profits or trail stop.
2026-04-09 15:33:55.203072,SPY,NOTICE,_t1_notify,677.7100219726562,,,,,,,
2026-04-09 15:20:30.730618,SPY,SHORT,session_high_double_top,676.283203125,676.280029296875,679.8499755859375,672.7100219726562,669.1400146484375,high,took,SESSION HIGH DOUBLE TOP — $676.47 tested twice; rejected and closed $676.28 (prime_time)
2026-04-09 15:08:30.932932,SPY,SHORT,hourly_resistance_rejection_short,674.9500122070312,674.9500122070312,679.1099853515625,670.7899780273438,666.6300048828125,medium,skipped,HOURLY RESISTANCE REJECTION at $677.08 — rallied to $675.13; rejected and closed $674.95
2026-04-09 15:06:17.261427,AMD,SELL,stop_loss_hit,234.55999755859375,,,,,,,Stop loss hit at $234.56 (-$0.53/share from entry $235.09) | near PDH $234.00
2026-04-09 15:03:17.469593,AMD,NOTICE,_t1_notify,234.9499969482422,,,,,,,T1 REACHED — your LONG from $217.78 hit target $234.00. P&L: $17.17 (+7.9%). Take profits or trail stop. At PDH resistance.
2026-04-09 14:59:29.473156,AMD,BUY,prior_day_high_breakout,235.08999633789062,235.08999633789062,234.55999755859375,236.97000122070312,238.85000610351562,medium,took,Prior day high breakout — closed above $234.00 (vol 0.9x avg) (prime_time) | gap up (+0.5%)
2026-04-09 14:56:30.601326,SPY,SHORT,hourly_resistance_rejection_short,675.2000122070312,675.2000122070312,679.1099853515625,671.2899780273438,667.3800048828125,medium,took,HOURLY RESISTANCE REJECTION at $677.08 — rallied to $675.50; rejected and closed $675.20
2026-04-09 14:56:30.424741,SPY,NOTICE,inside_day_forming,675.2000122070312,,,,,medium,,INSIDE DAY FORMING — today's range $673.77-$675.79 within yesterday's $671.46-$677.08 (36% of parent range). Trade the boundaries: buy near $671.46; sell near $677.08
2026-04-09 14:56:29.472704,AMD,SELL,hourly_resistance_approach,235.52999877929688,,,,,,,APPROACHING HOURLY RESISTANCE at $235.99 — tighten stop or take profits
2026-04-09 14:30:55.204026,SPY,NOTICE,inside_day_forming,674.2999877929688,,,,,medium,,INSIDE DAY FORMING — today's range $673.93-$675.79 within yesterday's $671.46-$677.08 (33% of parent range). Trade the boundaries: buy near $671.46; sell near $677.08
